,position_name,company_name,job_location,Seniority level,Employment type,Job function,Industries,sql, python , excel , r , tableau , power bi ,collection_date,search
12,Digital Product Manager - Ryanair Web,Ryanair - Europe's Favourite Airline,"Dublin, County Dublin, Ireland",Entry level,Full-time,Product Management and Marketing,Airlines and Aviation,0,0,0,0,0,0,25/08/2022," ""Marketing"" ""Analyst"" "
13,Data Analyst,ESB,"Dublin City, County Dublin, Ireland",Entry level,Full-time,Information Technology,Utilities,1,1,0,1,1,1,25/08/2022," ""Marketing"" ""Analyst"" "
14,Financial Analyst,Amdocs,"Dublin, County Dublin, Ireland",Entry level,Full-time,Finance and Sales,IT Services and IT Consulting,0,0,0,0,0,0,25/08/2022," ""Marketing"" ""Analyst"" "
15,Data analyst,Reperio Human Capital,"Dublin, County Dublin, Ireland",Entry level,Full-time,Information Technology,Staffing and Recruiting,1,0,0,0,0,0,25/08/2022," ""Marketing"" ""Analyst"" "
16,Google Data Analyst,Frontiers,Ireland,Entry level,Full-time,Information Technology,Book and Periodical Publishing,1,1,0,0,1,0,25/08/2022," ""Marketing"" ""Analyst"" "
17,Product Manager,NewsWhip,"Dublin, County Dublin, Ireland",Entry level,Full-time,Product Management and Marketing,Public Relations and Communications Services,0,0,0,0,0,0,25/08/2022," ""Marketing"" ""Analyst"" "
18,Commercial Data Analyst,Hostelworld Group,"Dublin, County Dublin, Ireland",Entry level,Full-time,Information Technology,Travel Arrangements,1,0,0,0,1,0,25/08/2022," ""Marketing"" ""Analyst"" "
19,Product Manager - Data and Insights,NewsWhip,"Dublin, County Dublin, Ireland",Entry level,Full-time,Product Management and Marketing,Public Relations and Communications Services,0,0,0,0,0,0,25/08/2022," ""Marketing"" ""Analyst"" "
20,Financial Analyst,Glanbia,"Dublin, County Dublin, Ireland",Entry level,Full-time,Finance,Food and Beverage Services,0,0,0,0,0,0,25/08/2022," ""Marketing"" ""Analyst"" "
21,Intern/Junior Market Research Analyst (Remote Researcher Internship),Brainnest,"Galway, County Galway, Ireland",Internship,Internship,Marketing and Sales,Business Consulting and Services,0,0,0,0,0,0,25/08/2022," ""Marketing"" ""Analyst"" "
22,Financial Analyst,Glanbia,"Dublin, County Dublin, Ireland",Entry level,Full-time,Finance,Food and Beverage Services,0,0,0,0,0,0,25/08/2022," ""Marketing"" ""Analyst"" "
23,Intern/Junior Market Research Analyst (Remote Researcher Internship),Brainnest,"Cork, County Cork, Ireland",Internship,Internship,Marketing and Sales,Business Consulting and Services,0,0,0,0,0,0,25/08/2022," ""Marketing"" ""Analyst"" "
24,"Explore Microsoft: Marketing Communications Manager Intern Opportunities for University Students and Graduates, Ireland",Microsoft,"Dublin, County Dublin, Ireland",Internship,Internship,Marketing,"IT Services and IT Consulting, Computer Hardware Manufacturing, and Software Development",0,0,0,0,0,0,25/08/2022," ""Marketing"" ""Analyst"" "
25,Intern/Junior Market Research Analyst (Remote Researcher Internship),Brainnest,"Galway, County Galway, Ireland",Internship,Internship,Marketing and Sales,Business Consulting and Services,0,0,0,0,0,0,25/08/2022," ""Marketing"" ""Analyst"" "
26,Intern/Junior Market Research Analyst (Remote Researcher Internship),Brainnest,"Cork, County Cork, Ireland",Internship,Internship,Marketing and Sales,Business Consulting and Services,0,0,0,0,0,0,25/08/2022," ""Marketing"" ""Analyst"" "
27,Data Analyst - CRM Analytics,Frontiers,Ireland,Entry level,Full-time,Information Technology,Book and Periodical Publishing,1,0,0,0,1,0,25/08/2022," ""Marketing"" ""Analyst"" "
28,"Explore Microsoft: Marketing Communications Manager Intern Opportunities for University Students and Graduates, Ireland",Microsoft,"Dublin, County Dublin, Ireland",Internship,Internship,Marketing,"IT Services and IT Consulting, Computer Hardware Manufacturing, and Software Development",0,0,0,0,0,0,25/08/2022," ""Marketing"" ""Analyst"" "
29,Commercial & Risk Data Analyst,Morgan McKinley,"Cork, County Cork, Ireland",Entry level,Full-time,Information Technology,Staffing and Recruiting,0,0,1,0,0,0,25/08/2022," ""Marketing"" ""Analyst"" "
30,"Explore Microsoft: Finance Analyst Intern Opportunities for University Students and Graduates, Ireland",Microsoft,"Dublin, County Dublin, Ireland",Internship,Internship,Finance,"IT Services and IT Consulting, Computer Hardware Manufacturing, and Software Development",0,0,0,0,0,0,25/08/2022," ""Marketing"" ""Analyst"" "
31,Business Development - IT Support Sales,Digitise,"Dublin, County Dublin, Ireland",Entry level,Full-time,Business Development and Sales,IT Services and IT Consulting,0,0,0,0,0,0,25/08/2022," ""Marketing"" ""Analyst"" "
32,Salesforce Administrator (Hybrid),Web Summit,"Dublin City, County Dublin, Ireland",Entry level,Full-time,Information Technology,IT Services and IT Consulting,1,0,1,0,0,0,25/08/2022," ""Marketing"" ""Analyst"" "
33,Digital Marketing Analyst (German),Cpl,"Dublin City, County Dublin, Ireland",Entry level,Full-time,Management and Manufacturing,Staffing and Recruiting,0,0,0,0,0,0,25/08/2022," ""Marketing"" ""Analyst"" "
34,Technical Consulting/Sales Engineering Leadership Development Program,Citrix,"Dublin, County Dublin, Ireland",Internship,Full-time,Information Technology,"Software Development, Computer Networking Products, and Technology, Information and Internet",0,0,0,0,0,0,25/08/2022," ""Marketing"" ""Analyst"" "
35,IT Sales Technical Representative | Dublin UK,Digitise,"Dublin, County Dublin, Ireland",Entry level,Full-time,Sales,Computer Networking Products,0,0,0,0,0,0,25/08/2022," ""Marketing"" ""Analyst"" "
36,Sales Engineer - UK/Ireland (REMOTE),Cyware,"Dublin, County Dublin, Ireland",Entry level,Full-time,Sales and Business Development,Computer and Network Security,0,0,0,0,0,0,25/08/2022," ""Marketing"" ""Analyst"" "
37,Quality Assurance Analyst - French/Dutch,Accenture,"Dublin, County Dublin, Ireland",Entry level,Full-time,Management and Strategy/Planning,Business Consulting and Services,0,0,0,0,0,0,25/08/2022," ""Marketing"" ""Analyst"" "
38,Credit & Collections Specialist w/French,Cpl,"Galway, County Galway, Ireland",Entry level,Full-time,Finance and Sales,Staffing and Recruiting,0,0,1,1,0,0,25/08/2022," ""Marketing"" ""Analyst"" "
39,"Solution Sales Specialist – Security, Compliance, and Identity (SCI) - Poland & Romania",Microsoft,"Dublin, County Dublin, Ireland",Entry level,Full-time,Sales and Business Development,"IT Services and IT Consulting, Computer Hardware Manufacturing, and Software Development",0,0,0,0,0,0,25/08/2022," ""Marketing"" ""Analyst"" "
40,Quality Assurance Analyst - German,Accenture,"Dublin, County Dublin, Ireland",Entry level,Full-time,Management and Strategy/Planning,Business Consulting and Services,0,0,0,0,0,0,25/08/2022," ""Marketing"" ""Analyst"" "
41,"Solution Sales Specialist – Security, Compliance, and Identity (SCI) - Czechia, Slovakia and Greece",Microsoft,"Dublin, County Dublin, Ireland",Entry level,Full-time,Sales and Business Development,"IT Services and IT Consulting, Computer Hardware Manufacturing, and Software Development",0,0,0,0,0,0,25/08/2022," ""Marketing"" ""Analyst"" "
42,"Solution Sales Specialist – Security, Compliance, and Identity (SCI) - CEE",Microsoft,"Dublin, County Dublin, Ireland",Entry level,Full-time,Sales and Business Development,"IT Services and IT Consulting, Computer Hardware Manufacturing, and Software Development",0,0,0,0,0,0,25/08/2022," ""Marketing"" ""Analyst"" "
