,position_name,company_name,job_location,Seniority level,Employment type,Job function,Industries,sql, python , excel , r , tableau , power bi ,collection_date,search
10,Index Operations Analyst,Infosys BPM,"Dublin, County Dublin, Ireland",Entry level,Full-time,Finance and Accounting/Auditing,Financial Services and Accounting,0,0,1,0,0,0,25/08/2022," ""Business"" ""Analyst"" "
11,Junior Business Analyst,Reperio Human Capital,"Dublin City, County Dublin, Ireland",Entry level,Full-time,"Research, Analyst, and Information Technology",Staffing and Recruiting,0,0,0,0,0,0,25/08/2022," ""Business"" ""Analyst"" "
12,Sales Operation Analyst (Contract),Maxim Integrated,"Dublin, County Dublin, Ireland",Entry level,Full-time,Business Development and Sales,"Appliances, Electrical, and Electronics Manufacturing, Computer Hardware Manufacturing, and Semiconductor Manufacturing",1,0,1,0,0,0,25/08/2022," ""Business"" ""Analyst"" "
13,Governance Analyst,NBC Global Finance Limited,"County Dublin, Ireland",N/a,Full-time,N/a,N/a,0,0,1,0,0,0,25/08/2022," ""Business"" ""Analyst"" "
14,Technical Business Analyst | Senior Associate | Technology Consulting | Advisory Dublin/Cork,PwC Ireland,"Cork, County Cork, Ireland",Entry level,Full-time,Business Development and Sales,Accounting,0,0,0,0,0,0,25/08/2022," ""Business"" ""Analyst"" "
15,Graduate Customer Success Data Analyst,Fenergo,"Dublin, County Dublin, Ireland",Entry level,Full-time,Other,Financial Services,1,0,1,0,1,1,25/08/2022," ""Business"" ""Analyst"" "
16,Corporate Action Analyst Spanish Language,Infosys BPM,"Dublin, County Dublin, Ireland",Entry level,Full-time,Accounting/Auditing and Finance,IT Services and IT Consulting,0,0,0,0,0,0,25/08/2022," ""Business"" ""Analyst"" "
17,Business Analyst,FDM Group,"Dublin, County Dublin, Ireland",Entry level,Full-time,"Analyst, Information Technology, and General Business","IT Services and IT Consulting, Banking, and Financial Services",0,0,1,0,0,0,25/08/2022," ""Business"" ""Analyst"" "
18,Client Services Analyst,StatPro,"Dublin, County Dublin, Ireland",Entry level,Full-time,Information Technology,Financial Services,0,0,0,0,0,0,25/08/2022," ""Business"" ""Analyst"" "
19,Finance Transformation Analyst,Morgan McKinley,"Cork, County Cork, Ireland",Entry level,Full-time,Finance and Sales,Staffing and Recruiting,0,0,1,0,0,0,25/08/2022," ""Business"" ""Analyst"" "
20,Chargeback Operations Analyst,EML,Ireland,Entry level,Full-time,"Information Technology, Finance, and Analyst",IT Services and IT Consulting and Financial Services,0,0,1,0,0,0,25/08/2022," ""Business"" ""Analyst"" "
21,Junior PMO Analyst,Morgan McKinley,"Dublin, County Dublin, Ireland",Entry level,Contract,Project Management and Information Technology,Staffing and Recruiting,0,0,0,0,0,0,25/08/2022," ""Business"" ""Analyst"" "
22,Casualty Analyst,AIG,"Dublin City, County Dublin, Ireland",Entry level,Full-time,Business Development and Sales,Insurance,0,0,0,0,0,0,25/08/2022," ""Business"" ""Analyst"" "
23,Freighter Analyst,BBAM,"Dublin, County Dublin, Ireland",N/a,Full-time,N/a,N/a,0,0,1,0,0,0,25/08/2022," ""Business"" ""Analyst"" "
24,Junior Research Analyst - Canadian Market,"Glass, Lewis & Co.","Limerick, County Limerick, Ireland",Entry level,Contract,Research,Financial Services,0,0,1,0,0,0,25/08/2022," ""Business"" ""Analyst"" "
25,Loan Operations Analyst,Elavon Europe,"Dublin, County Dublin, Ireland",Entry level,Full-time,Finance and Sales,Financial Services,0,0,0,0,0,0,25/08/2022," ""Business"" ""Analyst"" "
26,Junior Research Analyst - Canadian Market,"Glass, Lewis & Co.","Limerick, County Limerick, Ireland",Entry level,Contract,Research,Financial Services,0,0,1,0,0,0,25/08/2022," ""Business"" ""Analyst"" "
27,Financial Analyst,Pfizer,"Dublin City, County Dublin, Ireland",Entry level,Full-time,Finance and Sales,Pharmaceutical Manufacturing,0,0,1,0,0,0,25/08/2022," ""Business"" ""Analyst"" "
28,Junior Credit Analyst FTC 12M,Elavon Europe,"Arklow, County Wicklow, Ireland",Entry level,Full-time,Finance and Sales,Financial Services,0,0,0,0,0,0,25/08/2022," ""Business"" ""Analyst"" "
29,Application Support Analyst,AXA Partners,"Shannon, County Clare, Ireland",Entry level,Full-time,"Project Management, Information Technology, and Engineering",Insurance,1,0,1,0,0,0,25/08/2022," ""Business"" ""Analyst"" "
30,Finance Analyst,Jobs via eFinancialCareers,"Dublin, County Dublin, Ireland",Entry level,Full-time,Finance and Sales,Staffing and Recruiting,0,0,1,0,0,0,25/08/2022," ""Business"" ""Analyst"" "
31,Technical Business Analyst | Senior Associate | Technology Consulting | Advisory Dublin/Cork,PwC Ireland,"Cork, County Cork, Ireland",Entry level,Full-time,Business Development and Sales,Accounting,0,0,0,0,0,0,25/08/2022," ""Business"" ""Analyst"" "
32,Documentation Analyst - part time 3 day role - work from home,Eurofins BioPharma Product Testing Ireland Ltd,"Ringaskiddy, County Cork, Ireland",Entry level,Part-time,Administrative,Pharmaceutical Manufacturing,0,0,0,0,0,0,25/08/2022," ""Business"" ""Analyst"" "
33,Insurance QA Analyst,Sedgwick,"Dublin, County Dublin, Ireland",Entry level,Full-time,Quality Assurance,"Claims Adjusting, Actuarial Services",0,0,1,0,0,0,25/08/2022," ""Business"" ""Analyst"" "
34,Graduate Marketing Technology Analyst,Sage,"Dublin, County Dublin, Ireland",Entry level,Full-time,Information Technology,Software Development,0,0,0,0,0,0,25/08/2022," ""Business"" ""Analyst"" "
35,Finance Analyst,Cpl,"Dublin City, County Dublin, Ireland",Entry level,Full-time,Finance and Sales,Staffing and Recruiting,0,0,1,0,0,0,25/08/2022," ""Business"" ""Analyst"" "
36,Junior Credit Analyst,Morgan McKinley,"Dublin City, County Dublin, Ireland",Entry level,Full-time,Finance and Sales,Staffing and Recruiting,0,0,0,0,0,0,25/08/2022," ""Business"" ""Analyst"" "
37,QA and Complaints Analyst,Sedgwick,"Dublin, County Dublin, Ireland",Entry level,Full-time,Quality Assurance,"Claims Adjusting, Actuarial Services",0,0,1,0,0,0,25/08/2022," ""Business"" ""Analyst"" "
38,Client Services Analyst,Confluence,"Dublin, County Dublin, Ireland",Entry level,Full-time,Information Technology,Software Development,0,0,0,0,0,0,25/08/2022," ""Business"" ""Analyst"" "
39,Junior Commercial Analyst,Intuition,"Dublin City, County Dublin, Ireland",Entry level,Full-time,"Analyst, Business Development, and Sales",E-Learning Providers,0,0,0,0,0,0,25/08/2022," ""Business"" ""Analyst"" "
40,Financial Analyst,Amdocs,"Dublin, County Dublin, Ireland",Entry level,Full-time,Finance and Sales,IT Services and IT Consulting,0,0,0,0,0,0,25/08/2022," ""Business"" ""Analyst"" "
41,Finance Transformation Analyst,Morgan McKinley,"Cork, County Cork, Ireland",Entry level,Full-time,Finance and Sales,Staffing and Recruiting,0,0,1,0,0,0,25/08/2022," ""Business"" ""Analyst"" "
42,Graduate Project Coordinator (Business Technology),Keelings,"Dublin, County Dublin, Ireland",Entry level,Full-time,Other,Food and Beverage Services,0,0,1,0,0,0,25/08/2022," ""Business"" ""Analyst"" "
43,Quality Assurance Analyst,StatPro,"Dublin, County Dublin, Ireland",Entry level,Full-time,Quality Assurance,Financial Services,1,0,0,0,0,0,25/08/2022," ""Business"" ""Analyst"" "
44,Financial Analyst - Fundamentals – French language (Finance & Accounting),Infosys BPM,"Dublin, County Dublin, Ireland",Entry level,Full-time,Accounting/Auditing and Finance,"Banking, Financial Services, and Accounting",0,0,1,0,0,0,25/08/2022," ""Business"" ""Analyst"" "
45,Power Platform Business Analyst,Search Talent,Ireland,Entry level,Full-time,Information Technology and Finance,IT Services and IT Consulting,0,0,0,0,0,0,25/08/2022," ""Business"" ""Analyst"" "
46,Financial Analyst,CBRE Global Workplace Solutions (GWS),"Dublin, County Dublin, Ireland",Entry level,Full-time,"Engineering, Finance, and Information Technology",Leasing Non-residential Real Estate and Financial Services,0,0,1,0,0,0,25/08/2022," ""Business"" ""Analyst"" "
47,Graduate Technical Support Analyst,Brightwater,"Dublin, County Dublin, Ireland",Entry level,Full-time,Information Technology,IT Services and IT Consulting,0,0,0,0,0,0,25/08/2022," ""Business"" ""Analyst"" "
48,Mutual Fund Analyst French language,Infosys BPM,"Dublin, County Dublin, Ireland",Entry level,Full-time,"Accounting/Auditing, Finance, and Analyst",IT Services and IT Consulting,0,0,1,0,0,0,25/08/2022,f1," ""Business"" ""Analyst"" "
49,Recruiting Analyst,Accenture,"Dublin, County Dublin, Ireland",Entry level,Full-time,Human Resources,Human Resources,0,0,0,0,0,0,25/08/2022," ""Business"" ""Analyst"" "
50,Complaints Analyst- Italian,Cpl,"Dublin City, County Dublin, Ireland",Entry level,Full-time,Business Development and Sales,Staffing and Recruiting,0,0,0,0,0,0,25/08/2022," ""Business"" ""Analyst"" "
51,Payments Analyst,SEI,"Dublin, County Dublin, Ireland",Entry level,Full-time,Accounting/Auditing and Finance,Financial Services,0,0,0,0,0,0,25/08/2022," ""Business"" ""Analyst"" "
52,European eCommerce Data and Insight Analyst,Kellogg Company,"Dublin, County Dublin, Ireland",Entry level,Full-time,"Research, Analyst, and Information Technology",Food and Beverage Retail,0,0,1,0,0,0,25/08/2022," ""Business"" ""Analyst"" "
53,"Analyst, Transfer Agency (Dealing)",Northern Trust Corporation,"Limerick, County Limerick, Ireland",Entry level,Full-time,Business Development and Sales,Investment Management,0,0,1,0,0,0,25/08/2022," ""Business"" ""Analyst"" "
54,Business Operations Analyst,eTeam,"Dublin, County Dublin, Ireland",Entry level,Full-time,Business Development and Sales,IT Services and IT Consulting,0,0,1,0,0,0,25/08/2022," ""Business"" ""Analyst"" "
55,Laboratory Analyst,Cpl,"Limerick, County Limerick, Ireland",Entry level,Temporary,"Research, Analyst, and Information Technology",Staffing and Recruiting,0,0,1,0,0,0,25/08/2022," ""Business"" ""Analyst"" "
56,Analyst - Finance,AXIS (AXIS Capital),"Dublin City, County Dublin, Ireland",Entry level,Full-time,Finance and Sales,Insurance,0,0,1,0,0,0,25/08/2022," ""Business"" ""Analyst"" "
57,Financial Analyst - Business Development,Fexco,"County Kerry, Ireland",Entry level,Full-time,Human Resources,Financial Services,0,0,0,0,0,0,25/08/2022," ""Business"" ""Analyst"" "
58,Financial Operations Analyst,PartnerRe,"Dublin, County Dublin, Ireland",Entry level,Full-time,Finance,Insurance,0,0,1,0,0,0,25/08/2022," ""Business"" ""Analyst"" "
59,Technical Analyst - Aircraft Leasing,Peak Performance Recruitment,"Dublin, County Dublin, Ireland",Entry level,Full-time,Engineering,Aviation and Aerospace Component Manufacturing and Airlines and Aviation,0,0,1,0,0,0,25/08/2022," ""Business"" ""Analyst"" "
60,Recruitment Analyst,Accenture,"Dublin, County Dublin, Ireland",Entry level,Full-time,Human Resources,Human Resources,0,0,1,0,0,0,25/08/2022," ""Business"" ""Analyst"" "
61,Data Analyst,Reperio Human Capital,"Dublin, County Dublin, Ireland",Entry level,Contract,Information Technology,Staffing and Recruiting,1,0,0,0,1,0,25/08/2022," ""Business"" ""Analyst"" "
62,Finance Analyst,LexisNexis Risk Solutions Group,Ireland,Entry level,Full-time,Finance and Sales,Information Services,0,0,1,0,0,0,25/08/2022," ""Business"" ""Analyst"" "
63,Test Analyst,permanent tsb,"Dublin, County Dublin, Ireland",Entry level,Full-time,Information Technology,IT Services and IT Consulting and Information Services,0,0,0,0,0,0,25/08/2022," ""Business"" ""Analyst"" "
64,Data Configuration Analyst,StatPro,"Dublin, County Dublin, Ireland",Entry level,Full-time,Information Technology,Financial Services,1,0,0,0,0,0,25/08/2022," ""Business"" ""Analyst"" "
65,Income Analyst,Elavon Europe,"Dublin, County Dublin, Ireland",Entry level,Full-time,Business Development and Sales,Financial Services,0,0,0,0,0,0,25/08/2022," ""Business"" ""Analyst"" "
66,Systems Analyst I (Radiology),Optum,"Letterkenny, County Donegal, Ireland",Entry level,Full-time,Information Technology,Insurance,0,0,1,0,0,0,25/08/2022," ""Business"" ""Analyst"" "
67,GRC Analyst,Cpl,"Dublin City, County Dublin, Ireland",Entry level,Full-time,Business Development and Sales,Staffing and Recruiting,0,0,0,0,0,0,25/08/2022," ""Business"" ""Analyst"" "
68,Product Operations Data Analyst,Fenergo,"Dublin, County Dublin, Ireland",Entry level,Full-time,Product Management and Marketing,Financial Services,1,1,0,1,0,0,25/08/2022," ""Business"" ""Analyst"" "
69,Financial Analyst,Boston Scientific,"Cork, County Cork, Ireland",Entry level,Full-time,Finance,Medical Equipment Manufacturing,0,0,0,0,0,0,25/08/2022," ""Business"" ""Analyst"" "
70,Test Analyst,permanent tsb,"Dublin, County Dublin, Ireland",Entry level,Full-time,Information Technology,IT Services and IT Consulting and Information Services,0,0,0,0,0,0,25/08/2022," ""Business"" ""Analyst"" "
71,Junior Program Analyst - Fluent French,Cpl,"Dublin City, County Dublin, Ireland",Entry level,Full-time,Business Development and Sales,Staffing and Recruiting,0,0,0,0,0,0,25/08/2022," ""Business"" ""Analyst"" "
72,Financial Analyst,Flex,"Cork, County Cork, Ireland",Entry level,Full-time,Finance,"Appliances, Electrical, and Electronics Manufacturing",1,0,1,0,1,1,25/08/2022," ""Business"" ""Analyst"" "
73,Payment Technical Analyst,NTT DATA Services,"Dublin, County Dublin, Ireland",Entry level,Full-time,Information Technology,IT Services and IT Consulting,0,0,0,0,0,0,25/08/2022," ""Business"" ""Analyst"" "
74,Application Support Analyst,Capita,"Cork, County Cork, Ireland",Entry level,Full-time,Information Technology,IT Services and IT Consulting,0,0,1,0,0,1,25/08/2022," ""Business"" ""Analyst"" "
75,QC Analyst,Pfizer,"Dublin, County Dublin, Ireland",Entry level,Full-time,Quality Assurance,Pharmaceutical Manufacturing,0,0,0,0,0,0,25/08/2022," ""Business"" ""Analyst"" "
76,Finance Analyst,Securitas Ireland,"Dublin, County Dublin, Ireland",Entry level,Full-time,Finance and Sales,Security and Investigations,0,0,1,0,0,0,25/08/2022," ""Business"" ""Analyst"" "
77,AML/DD Analyst,Morgan McKinley,"Dublin, County Dublin, Ireland",Entry level,Full-time,Finance and Sales,Staffing and Recruiting,0,0,0,0,0,0,25/08/2022," ""Business"" ""Analyst"" "
78,Media Analyst,PublicRelay,"Dublin, County Dublin, Ireland",N/a,Full-time,N/a,N/a,0,0,0,0,0,0,25/08/2022," ""Business"" ""Analyst"" "
79,Financial Analyst,Booking Holdings (NASDAQ: BKNG),"Dublin, County Dublin, Ireland",Entry level,Full-time,Finance and Sales,Holding Companies,0,0,0,0,0,0,25/08/2022," ""Business"" ""Analyst"" "
80,Fundamentals Analyst - Multiple languages,Cpl,"Dublin City, County Dublin, Ireland",Entry level,Full-time,Business Development and Sales,Staffing and Recruiting,0,0,0,0,0,0,25/08/2022," ""Business"" ""Analyst"" "
81,Investment Data Analyst,Engage People Inc.,"Dublin, County Dublin, Ireland",Entry level,Full-time,Information Technology,IT Services and IT Consulting,1,0,1,0,0,0,25/08/2022," ""Business"" ""Analyst"" "
82,Media Analyst,PublicRelay,"Waterford, County Waterford, Ireland",N/a,Full-time,N/a,N/a,0,0,0,0,0,0,25/08/2022," ""Business"" ""Analyst"" "
83,Systems Analyst - Remote,Cpl,"Galway, County Galway, Ireland",Entry level,Contract,Information Technology,Staffing and Recruiting,0,0,0,0,0,0,25/08/2022," ""Business"" ""Analyst"" "
84,Systems Analyst,e-Frontiers,"Dublin, County Dublin, Ireland",Entry level,Full-time,Information Technology,Financial Services,0,0,0,0,0,0,25/08/2022," ""Business"" ""Analyst"" "
85,Restructuring Analyst,Jobs via eFinancialCareers,"Dublin, County Dublin, Ireland",Entry level,Full-time,Finance and Sales,Staffing and Recruiting,0,0,0,0,0,0,25/08/2022," ""Business"" ""Analyst"" "
86,Complaints Co-Ordinator & Investigation Analyst,Accenture,"Dublin, County Dublin, Ireland",Entry level,Full-time,Consulting,Business Consulting and Services,0,0,0,0,0,0,25/08/2022," ""Business"" ""Analyst"" "
87,Analyst - Gene Therapy,Eurofins BioPharma Product Testing Ireland Ltd,"Dungarvan, County Waterford, Ireland",Entry level,Full-time,"Research, Analyst, and Information Technology",Pharmaceutical Manufacturing,0,0,0,0,0,0,25/08/2022," ""Business"" ""Analyst"" "
88,Media Analyst,PublicRelay,"Waterford, County Waterford, Ireland",N/a,Full-time,N/a,N/a,0,0,0,0,0,0,25/08/2022," ""Business"" ""Analyst"" "
89,Data Analytics Analyst,Elavon Europe,"Dublin, County Dublin, Ireland",Entry level,Full-time,Business Development and Sales,Financial Services,1,0,0,0,0,1,25/08/2022," ""Business"" ""Analyst"" "
90,ETF Data Analyst,Virtu Financial,"Dublin City, County Dublin, Ireland",Entry level,Full-time,Information Technology,Financial Services,1,0,0,0,0,0,25/08/2022," ""Business"" ""Analyst"" "
91,Insights Analyst,Morgan McKinley,"Dublin, County Dublin, Ireland",Entry level,Contract,"Research, Analyst, and Information Technology",Staffing and Recruiting,1,1,1,0,0,1,25/08/2022," ""Business"" ""Analyst"" "
92,Financial Analyst,Morgan McKinley,"Waterford, County Waterford, Ireland",Entry level,Full-time,Finance and Sales,Staffing and Recruiting,0,0,0,0,0,0,25/08/2022," ""Business"" ""Analyst"" "
93,Junior software support analyst,Morgan McKinley,"Monaghan, County Monaghan, Ireland",Entry level,Full-time,Engineering and Information Technology,Staffing and Recruiting,0,0,0,0,0,0,25/08/2022," ""Business"" ""Analyst"" "
94,Level 1 Helpdesk Analyst,The Recruitment Company Pty Ltd,"Dublin City, County Dublin, Ireland",Entry level,Full-time,Information Technology,Truck Transportation,0,0,0,0,0,0,25/08/2022," ""Business"" ""Analyst"" "
95,"Analyst, Transfer Agency (FSC)",Northern Trust Corporation,"Limerick, County Limerick, Ireland",Entry level,Full-time,Business Development and Sales,Investment Management,0,0,1,0,0,0,25/08/2022," ""Business"" ""Analyst"" "
96,Operational Finance Analyst,Morgan McKinley,"Cork, County Cork, Ireland",Entry level,Full-time,Finance and Sales,Staffing and Recruiting,0,0,0,0,0,0,25/08/2022," ""Business"" ""Analyst"" "
97,Graduate Legal Analyst,Brightflag,"County Dublin, Ireland",Entry level,Full-time,"Analyst, Administrative, and Legal",Software Development,0,0,0,0,0,0,25/08/2022," ""Business"" ""Analyst"" "
98,Financial Analyst,NetApp,"Cork, County Cork, Ireland",Entry level,Full-time,Finance and Sales,Data Infrastructure and Analytics,0,0,0,0,0,0,25/08/2022," ""Business"" ""Analyst"" "
99,Financial Analyst,NetApp,"Cork, County Cork, Ireland",Entry level,Full-time,Finance and Sales,Data Infrastructure and Analytics,0,0,0,0,0,0,25/08/2022," ""Business"" ""Analyst"" "
100,Financial Analyst,Morgan McKinley,"South Dublin, County Dublin, Ireland",Entry level,Full-time,Finance and Sales,Staffing and Recruiting,0,0,0,0,0,0,25/08/2022," ""Business"" ""Analyst"" "
101,Systems Analyst II (Radiology),Optum,"Letterkenny, County Donegal, Ireland",Entry level,Full-time,Information Technology,Insurance,0,0,1,0,0,0,25/08/2022," ""Business"" ""Analyst"" "
102,Finance Analyst,Morgan McKinley,"Cork, County Cork, Ireland",Entry level,Full-time,Finance and Sales,Staffing and Recruiting,0,0,1,0,1,0,25/08/2022," ""Business"" ""Analyst"" "
103,Transfer Agent - Senior Analyst,Phoenix - Your Professional Search Partner,"Dublin, County Dublin, Ireland",Entry level,Full-time,Analyst,Financial Services,0,0,0,0,0,0,25/08/2022," ""Business"" ""Analyst"" "
104,GIS Analyst,Stantec,"Dublin, County Dublin, Ireland",Entry level,Full-time,Information Technology,Design Services,0,0,0,0,0,0,25/08/2022," ""Business"" ""Analyst"" "
105,Junior Systems Operations Analyst,Adare Manor,"Adare, County Limerick, Ireland",Entry level,Full-time,Information Technology,Hospitality,0,0,0,0,0,0,25/08/2022," ""Business"" ""Analyst"" "
106,"Analyst, Transfer Agency (Dealing)",ACCA Careers,"Limerick, County Limerick, Ireland",Entry level,Full-time,Business Development and Sales,Accounting,0,0,1,0,0,0,25/08/2022," ""Business"" ""Analyst"" "
107,Jr Finance Analyst - Multilingual,Cpl,"Dublin City, County Dublin, Ireland",Entry level,Full-time,Finance and Sales,Staffing and Recruiting,0,0,0,0,0,0,25/08/2022," ""Business"" ""Analyst"" "
108,Financial Analyst - Fundamentals – German language (Finance & Accounting),Infosys BPM,"Dublin, County Dublin, Ireland",Entry level,Full-time,"Accounting/Auditing, Finance, and Analyst",IT Services and IT Consulting,0,0,1,0,0,0,25/08/2022," ""Business"" ""Analyst"" "
109,EMEA Cyber Threat Intelligence Analyst,Bank of America,"Dublin, County Dublin, Ireland",Entry level,Full-time,Information Technology,Credit Intermediation,0,0,0,0,0,0,25/08/2022," ""Business"" ""Analyst"" "
110,AIFM Analyst,Intertrust Group,"Dublin City, County Dublin, Ireland",Entry level,Full-time,Business Development and Sales,Financial Services,0,0,1,0,0,0,25/08/2022," ""Business"" ""Analyst"" "
111,Data Quality Analyst,Viatris,"Northern Cross, County Dublin, Ireland",Entry level,Full-time,Information Technology,Pharmaceutical Manufacturing,1,0,0,0,0,0,25/08/2022," ""Business"" ""Analyst"" "
112,Lab Support API Analyst part time day role - Ringaskiddy,Eurofins BioPharma Product Testing Ireland Ltd,"Ringaskiddy, County Cork, Ireland",Entry level,Part-time,Information Technology,Pharmaceutical Manufacturing,0,0,0,0,0,0,25/08/2022," ""Business"" ""Analyst"" "
113,Data Analyst - Remote (to GMT+2) / Dublin,Phorest Salon Software,"Dublin, County Dublin, Ireland",Entry level,Full-time,Information Technology,Software Development,1,0,0,0,0,0,25/08/2022," ""Business"" ""Analyst"" "
114,Project Manager / Business Analyst,Reperio Human Capital,"Dublin, County Dublin, Ireland",Entry level,Full-time,Project Management and Information Technology,Staffing and Recruiting,0,0,0,0,0,0,25/08/2022," ""Business"" ""Analyst"" "
115,Insurance Collections – Support Analyst,Beacon Hospital,"Dublin, County Dublin, Ireland",Entry level,Full-time,Information Technology,Hospitals and Health Care,0,0,1,0,0,0,25/08/2022," ""Business"" ""Analyst"" "
116,Binding Analyst,Morgan McKinley,"Dublin, County Dublin, Ireland",Entry level,Full-time,Business Development and Sales,Staffing and Recruiting,0,0,1,0,0,0,25/08/2022," ""Business"" ""Analyst"" "
117,Web Analyst,GemPool Recruitment,Ireland,Entry level,Full-time,"Research, Analyst, and Information Technology",IT Services and IT Consulting,1,0,0,0,0,0,25/08/2022," ""Business"" ""Analyst"" "
118,IT Service Desk Analyst,Cpl,"Dublin City, County Dublin, Ireland",Entry level,Temporary,Information Technology,Staffing and Recruiting,0,0,0,0,0,0,25/08/2022," ""Business"" ""Analyst"" "
119,Advisory Senior Associates | Portfolio and Programme Management Dublin,PwC Ireland,"Dublin City, County Dublin, Ireland",Entry level,Full-time,"Consulting, Information Technology, and Sales",Accounting,0,0,0,0,0,0,25/08/2022," ""Business"" ""Analyst"" "
120,SOC Analyst I,eSentire,"Cork, County Cork, Ireland",Entry level,Full-time,Information Technology,Computer and Network Security,0,0,0,0,0,0,25/08/2022," ""Business"" ""Analyst"" "
121,Global Electrolux Talent Program - Group Supply Chain Planning and Performance Analyst [Poland],Electrolux,"Dublin, County Dublin, Ireland",Internship,Internship,Information Technology,Manufacturing,0,0,1,0,0,1,25/08/2022," ""Business"" ""Analyst"" "
122,Legal Review Analyst,A&L Goodbody LLP,"Dublin, County Dublin, Ireland",Entry level,Full-time,Legal,Law Practice,0,0,1,0,0,0,25/08/2022," ""Business"" ""Analyst"" "
123,Lab Support Analyst API - Ringaskiddy,Eurofins BioPharma Product Testing Ireland Ltd,"Ringaskiddy, County Cork, Ireland",Entry level,Full-time,Information Technology,Pharmaceutical Manufacturing,0,0,0,0,0,0,25/08/2022," ""Business"" ""Analyst"" "
124,Data Analyst,Bausch + Lomb,"Waterford, County Waterford, Ireland",Entry level,Full-time,Information Technology,Pharmaceutical Manufacturing,1,1,1,0,0,1,25/08/2022," ""Business"" ""Analyst"" "
125,Data Analyst,ESB,"Dublin City, County Dublin, Ireland",Entry level,Full-time,Information Technology,Utilities,1,1,0,1,1,1,25/08/2022," ""Business"" ""Analyst"" "
126,FPS Analyst (Hybrid),permanent tsb,"Dublin, County Dublin, Ireland",Entry level,Full-time,Information Technology,IT Services and IT Consulting and Information Services,0,0,0,0,0,0,25/08/2022," ""Business"" ""Analyst"" "
127,Application Support Analyst,Marex,"Dublin, County Dublin, Ireland",Entry level,Full-time,Information Technology,Securities and Commodity Exchanges,1,0,0,0,0,0,25/08/2022," ""Business"" ""Analyst"" "
128,Data Analyst,Reperio Human Capital,"Dublin, County Dublin, Ireland",Entry level,Full-time,Information Technology,Staffing and Recruiting,1,0,0,0,1,0,25/08/2022," ""Business"" ""Analyst"" "
129,QA Analyst,Reperio Human Capital,"Dublin, County Dublin, Ireland",Entry level,Full-time,Quality Assurance,Staffing and Recruiting,0,0,0,0,0,0,25/08/2022," ""Business"" ""Analyst"" "
130,Financial Analyst,GN EMEA,"Dublin, County Dublin, Ireland",Entry level,Full-time,Finance,Food and Beverage Services,0,0,1,0,0,0,25/08/2022," ""Business"" ""Analyst"" "
131,Support Helpdesk Analyst,OpenSky Data Systems,"Naas, County Kildare, Ireland",Entry level,Full-time,Information Technology,IT Services and IT Consulting,0,0,0,0,0,0,25/08/2022," ""Business"" ""Analyst"" "
132,IT Analyst Enterprise Solutions,Maynooth University,"Maynooth, County Kildare, Ireland",Entry level,Full-time,Information Technology,Higher Education,0,0,0,0,0,0,25/08/2022," ""Business"" ""Analyst"" "
133,Financial Analyst,Glanbia,"Dublin, County Dublin, Ireland",Entry level,Full-time,Finance,Food and Beverage Services,0,0,0,0,0,0,25/08/2022," ""Business"" ""Analyst"" "
